iso_code;country;year;co2;co2_per_capita
AFG;Afghanistan;2020;12.16;0.312
DZA;Algeria;2020;154.995;3.535
AND;Andorra;2020;0.466;6.035
AGO;Angola;2020;22.198;0.675
AIA;Anguilla;2020;0.123;8.227
ATA;Antarctica;2020;;
ATG;Antigua and Barbuda;2020;0.43;4.395
ARG;Argentina;2020;156.978;3.473
ARM;Armenia;2020;5.89;1.988
ABW;Aruba;2020;0.753;7.055
AUS;Australia;2020;391.892;15.368
AUT;Austria;2020;60.635;6.732
AZE;Azerbaijan;2020;37.72;3.72
BHS;Bahamas;2020;2.338;5.945
BHR;Bahrain;2020;34.96;20.546
BGD;Bangladesh;2020;92.842;0.564
BRB;Barbados;2020;1.087;3.782
BLR;Belarus;2020;57.445;6.079
BEL;Belgium;2020;83.749;7.226
BLZ;Belize;2020;0.583;1.466
BEN;Benin;2020;6.703;0.553
BMU;Bermuda;2020;0.624;10.028
BTN;Bhutan;2020;1.925;2.495
BOL;Bolivia;2020;20.7;1.773
BES;Bonaire Sint Eustatius and Saba;2020;0.301;11.466
BIH;Bosnia and Herzegovina;2020;21.418;6.528
BWA;Botswana;2020;6.519;2.772
BRA;Brazil;2020;467.384;2.199
VGB;British Virgin Islands;2020;0.139;4.605
BRN;Brunei;2020;10.158;23.22
BGR;Bulgaria;2020;37.444;5.389
BFA;Burkina Faso;2020;3.97;0.19
BDI;Burundi;2020;0.602;0.051
KHM;Cambodia;2020;15.326;0.917
CMR;Cameroon;2020;6.889;0.26
CAN;Canada;2020;535.823;14.197
CPV;Cape Verde;2020;0.55;0.989
CAF;Central African Republic;2020;0.188;0.039
TCD;Chad;2020;0.912;0.056
CHL;Chile;2020;81.171;4.246
CHN;China;2020;10667.887;7.412
CXR;Christmas Island;2020;;
COL;Colombia;2020;89.105;1.751
COM;Comoros;2020;0.258;0.297
COG;Congo;2020;3.117;0.565
COK;Cook Islands;2020;0.079;4.522
CRI;Costa Rica;2020;7.907;1.552
CIV;Cote d'Ivoire;2020;10.071;0.382
HRV;Croatia;2020;16.982;4.137
CUB;Cuba;2020;20.152;1.779
CUW;Curacao;2020;3.335;20.323
CYP;Cyprus;2020;6.496;5.38
CZE;Czechia;2020;87.975;8.215
COD;Democratic Republic of Congo;2020;2.477;0.028
DNK;Denmark;2020;26.195;4.522
DJI;Djibouti;2020;0.351;0.356
DMA;Dominica;2020;0.139;1.934
DOM;Dominican Republic;2020;27.769;2.56
ECU;Ecuador;2020;30.932;1.753
EGY;Egypt;2020;213.457;2.086
SLV;El Salvador;2020;6.124;0.944
GNQ;Equatorial Guinea;2020;10.265;7.317
ERI;Eritrea;2020;0.722;0.204
EST;Estonia;2020;10.452;7.88
SWZ;Eswatini;2020;0.956;0.824
ETH;Ethiopia;2020;14.665;0.128
FRO;Faeroe Islands;2020;0.684;13.996
FJI;Fiji;2020;1.393;1.554
FIN;Finland;2020;39.288;7.091
FRA;France;2020;276.634;4.238
GUF;French Guiana;2020;0.728;2.439
PYF;French Polynesia;2020;0.828;2.949
GAB;Gabon;2020;4.298;1.931
GMB;Gambia;2020;0.5;0.207
GEO;Georgia;2020;9.968;2.499
DEU;Germany;2020;644.31;7.69
GHA;Ghana;2020;16.001;0.515
GRC;Greece;2020;52.235;5.012
GRL;Greenland;2020;0.514;9.061
GRD;Grenada;2020;0.295;2.62
GLP;Guadeloupe;2020;2.562;6.403
GTM;Guatemala;2020;18.938;1.057
GIN;Guinea;2020;3.394;0.258
GNB;Guinea-Bissau;2020;0.287;0.146
GUY;Guyana;2020;2.213;2.813
HTI;Haiti;2020;2.92;0.256
HND;Honduras;2020;9.66;0.975
HKG;Hong Kong;2020;31.239;4.167
HUN;Hungary;2020;48.275;4.997
ISL;Iceland;2020;2.936;8.604
IND;India;2020;2441.792;1.769
IDN;Indonesia;2020;589.5;2.155
IRN;Iran;2020;745.035;8.87
IRQ;Iraq;2020;210.829;5.242
IRL;Ireland;2020;33.349;6.754
ISR;Israel;2020;56.351;6.51
ITA;Italy;2020;303.815;5.025
JAM;Jamaica;2020;7.429;2.509
JPN;Japan;2020;1030.775;8.15
JOR;Jordan;2020;25.487;2.498
KAZ;Kazakhstan;2020;291.336;15.516
KEN;Kenya;2020;16.146;0.3
KIR;Kiribati;2020;0.068;0.57
KWT;Kuwait;2020;88.935;20.825
KGZ;Kyrgyzstan;2020;11.508;1.764
LAO;Laos;2020;33.847;4.652
LVA;Latvia;2020;6.773;3.591
LBN;Lebanon;2020;25.969;3.805
LSO;Lesotho;2020;2.183;1.019
LBR;Liberia;2020;1.009;0.2
LBY;Libya;2020;50.721;7.382
LIE;Liechtenstein;2020;0.141;3.698
LTU;Lithuania;2020;13.799;5.069
LUX;Luxembourg;2020;8.175;13.059
MDG;Madagascar;2020;3.68;0.133
MWI;Malawi;2020;1.395;0.073
MYS;Malaysia;2020;272.607;8.423
MDV;Maldives;2020;1.796;3.324
MLI;Mali;2020;3.39;0.167
MLT;Malta;2020;1.595;3.612
MHL;Marshall Islands;2020;0.151;2.556
MTQ;Martinique;2020;2.348;6.258
MRT;Mauritania;2020;3.377;0.726
MUS;Mauritius;2020;3.979;3.129
MYT;Mayotte;2020;0.306;1.12
MEX;Mexico;2020;356.968;2.769
MDA;Moldova;2020;5.147;1.276
MNG;Mongolia;2020;88.442;26.978
MNE;Montenegro;2020;2.31;3.678
MSR;Montserrat;2020;0.025;5.065
MAR;Morocco;2020;64.536;1.748
MOZ;Mozambique;2020;6.571;0.21
MMR;Myanmar;2020;36.326;0.668
NAM;Namibia;2020;3.877;1.526
NRU;Nauru;2020;0.057;5.236
NPL;Nepal;2020;16.958;0.582
NLD;Netherlands;2020;138.1;8.06
NCL;New Caledonia;2020;8.693;30.448
NZL;New Zealand;2020;33.475;6.942
NIC;Nicaragua;2020;5.074;0.766
NER;Niger;2020;1.69;0.07
NGA;Nigeria;2020;125.463;0.609
NIU;Niue;2020;0.011;7.012
PRK;North Korea;2020;29.311;1.137
MKD;North Macedonia;2020;7.147;3.43
NOR;Norway;2020;41.283;7.615
OMN;Oman;2020;62.163;12.173
PAK;Pakistan;2020;234.755;1.063
PLW;Palau;2020;0.219;12.125
PSE;Palestine;2020;2.899;0.568
PAN;Panama;2020;10.78;2.498
PNG;Papua New Guinea;2020;6.652;0.744
PRY;Paraguay;2020;7.57;1.061
PER;Peru;2020;44.706;1.356
PHL;Philippines;2020;136.018;1.241
POL;Poland;2020;299.593;7.916
PRT;Portugal;2020;40.388;3.961
PRI;Puerto Rico;2020;;
QAT;Qatar;2020;106.655;37.019
ROU;Romania;2020;71.475;3.715
RUS;Russia;2020;1577.136;10.807
RWA;Rwanda;2020;1.033;0.08
SHN;Saint Helena;2020;0.009;1.564
KNA;Saint Kitts and Nevis;2020;0.212;3.986
LCA;Saint Lucia;2020;0.44;2.396
SPM;Saint Pierre and Miquelon;2020;0.051;8.738
VCT;Saint Vincent and the Grenadines;2020;0.209;1.883
WSM;Samoa;2020;0.246;1.239
STP;Sao Tome and Principe;2020;0.113;0.514
SAU;Saudi Arabia;2020;625.508;17.967
SEN;Senegal;2020;10.451;0.624
SRB;Serbia;2020;43.135;4.937
SYC;Seychelles;2020;0.491;4.994
SLE;Sierra Leone;2020;0.877;0.11
SGP;Singapore;2020;45.504;7.778
SXM;Sint Maarten (Dutch part);2020;0.623;14.539
SVK;Slovakia;2020;30.73;5.629
SVN;Slovenia;2020;12.563;6.043
SLB;Solomon Islands;2020;0.299;0.435
SOM;Somalia;2020;0.562;0.035
ZAF;South Africa;2020;451.957;7.62
KOR;South Korea;2020;597.605;11.656
SSD;South Sudan;2020;1.179;0.105
ESP;Spain;2020;208.915;4.468
LKA;Sri Lanka;2020;21.106;0.986
SDN;Sudan;2020;18.859;0.43
SUR;Suriname;2020;2.224;3.791
SWE;Sweden;2020;38.635;3.826
CHE;Switzerland;2020;32.298;3.732
SYR;Syria;2020;30.532;1.745
TWN;Taiwan;2020;273.175;11.47
TJK;Tajikistan;2020;9.448;0.991
TZA;Tanzania;2020;10.939;0.183
THA;Thailand;2020;257.766;3.693
TLS;Timor;2020;0.526;0.399
TGO;Togo;2020;2.192;0.265
TON;Tonga;2020;0.144;1.36
TTO;Trinidad and Tobago;2020;35.509;25.373
TUN;Tunisia;2020;28.127;2.38
TUR;Turkey;2020;392.794;4.657
TKM;Turkmenistan;2020;75.338;12.491
TCA;Turks and Caicos Islands;2020;0.203;5.231
TUV;Tuvalu;2020;0.008;0.642
UGA;Uganda;2020;4.892;0.107
UKR;Ukraine;2020;213.909;4.891
ARE;United Arab Emirates;2020;150.268;15.193
GBR;United Kingdom;2020;329.579;4.855
USA;United States;2020;4712.771;14.238
URY;Uruguay;2020;5.84;1.681
UZB;Uzbekistan;2020;112.784;3.37
VUT;Vanuatu;2020;0.182;0.591
VEN;Venezuela;2020;84.609;2.975
VNM;Vietnam;2020;254.303;2.613
YEM;Yemen;2020;9.768;0.328
ZMB;Zambia;2020;6.573;0.358
ZWE;Zimbabwe;2020;10.531;0.709
;;;;
;;;;
WRL;World;2020;34807.259;4.465
