latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.6153,5.2719,322.1,4.7,2,2021-08-10,0047,Aqua,MODIS,100,6.03,302,138.3,N,0
36.6178,5.2624,317.3,4.7,2,2021-08-10,0047,Aqua,MODIS,94,6.03,302.1,99.6,N,0
36.5994,5.2743,310.1,4.7,2,2021-08-10,0047,Aqua,MODIS,62,6.03,299.8,47.2,N,0
36.5834,5.2222,311.2,4.7,2,2021-08-10,0047,Aqua,MODIS,72,6.03,299.3,55.9,N,0
36.5829,5.2194,311.6,4.7,2,2021-08-10,0047,Aqua,MODIS,80,6.03,299.5,62.1,N,0
31.6638,6.0528,309.2,3.8,1.8,2021-08-10,0048,Aqua,MODIS,77,6.03,298.9,43.2,N,2
36.5725,4.161,437.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,317.3,3006.6,N,0
36.5647,4.1936,342.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,303.5,217.1,N,0
36.5567,4.2268,325.2,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300.8,84.4,N,0
36.5484,4.2616,340.9,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.5,211.3,N,0
36.5405,4.2947,370.6,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,305.1,625.9,N,0
36.5329,4.326,318.8,3.3,1.7,2021-08-10,0225,Aqua,MODIS,98,6.03,299.2,63.8,N,0
36.5665,4.1198,313.6,3.2,1.7,2021-08-10,0225,Aqua,MODIS,87,6.03,300.6,30,N,0
36.5579,4.1556,361.2,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.8,449.2,N,0
36.55,4.1885,364.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,305.4,507.1,N,0
36.5421,4.2213,335.6,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,302,164.7,N,0
36.5341,4.2544,316.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,47,6.03,300.1,45.8,N,0
36.5261,4.2879,324.6,3.3,1.7,2021-08-10,0225,Aqua,MODIS,94,6.03,300.9,88.6,N,0
36.7811,6.0143,324,4.1,1.9,2021-08-10,0225,Aqua,MODIS,100,6.03,302.3,137.2,N,0
36.7923,6.014,323.9,4.1,1.9,2021-08-10,0225,Aqua,MODIS,100,6.03,302.4,135.5,N,0
36.7855,4.64,310.9,3.4,1.7,2021-08-10,0225,Aqua,MODIS,73,6.03,297.8,30.6,N,0
36.775,4.6826,329.9,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.7,142,N,0
36.7884,4.5621,318.8,3.3,1.7,2021-08-10,0225,Aqua,MODIS,97,6.03,298.5,70.5,N,0
36.7791,4.5997,321.6,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.7,83.5,N,0
36.7704,4.635,321.6,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.7,82.4,N,0
36.7601,4.6767,310.7,3.4,1.7,2021-08-10,0225,Aqua,MODIS,72,6.03,298.3,30.2,N,0
36.6078,5.284,309.7,3.7,1.8,2021-08-10,0225,Aqua,MODIS,42,6.03,297.8,38.6,N,0
36.7637,4.5962,315,3.4,1.7,2021-08-10,0225,Aqua,MODIS,87,6.03,299.3,45.3,N,0
36.7548,4.632,337.4,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300.8,197.2,N,0
36.7454,4.6699,314.8,3.4,1.7,2021-08-10,0225,Aqua,MODIS,86,6.03,298.1,47.6,N,0
36.5886,5.2258,312.3,3.7,1.8,2021-08-10,0225,Aqua,MODIS,78,6.03,299,41.4,N,0
36.5788,5.2641,322.1,3.7,1.8,2021-08-10,0225,Aqua,MODIS,100,6.03,298.2,100.5,N,0
36.7789,4.6792,316.4,3.4,1.7,2021-08-10,0225,Aqua,MODIS,93,6.03,298.5,56.2,N,0
36.7913,4.5595,316.5,3.3,1.7,2021-08-10,0225,Aqua,MODIS,93,6.03,298.6,56.4,N,0
36.7826,4.5959,317,3.4,1.7,2021-08-10,0225,Aqua,MODIS,94,6.03,298.4,56.3,N,0
36.764,4.6731,327.4,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.6,120.9,N,0
36.7671,4.5929,316.6,3.4,1.7,2021-08-10,0225,Aqua,MODIS,93,6.03,298.9,55,N,0
36.7584,4.6286,344.6,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.3,271.4,N,0
36.7492,4.6669,317.7,3.4,1.7,2021-08-10,0225,Aqua,MODIS,95,6.03,298.4,63.7,N,0
36.6009,5.2718,310.9,3.7,1.8,2021-08-10,0225,Aqua,MODIS,64,6.03,298.4,42.9,N,0
36.5809,5.2157,310,3.7,1.8,2021-08-10,0225,Aqua,MODIS,76,6.03,298,35,N,0
36.5713,5.2542,322.3,3.7,1.8,2021-08-10,0225,Aqua,MODIS,100,6.03,297.8,108.3,N,0
36.713,4.4163,308.3,3.3,1.7,2021-08-10,0225,Aqua,MODIS,38,6.03,294.6,29.5,N,0
36.7173,4.4106,306.9,3.3,1.7,2021-08-10,0225,Aqua,MODIS,30,6.03,293.9,24.2,N,0
36.6214,4.2151,313.8,3.2,1.7,2021-08-10,0225,Aqua,MODIS,38,6.03,295.5,42.2,N,0
36.5628,4.4567,317,3.3,1.7,2021-08-10,0225,Aqua,MODIS,94,6.03,298.8,57.4,N,0
36.555,4.4884,316.6,3.4,1.7,2021-08-10,0225,Aqua,MODIS,93,6.03,295.9,58.2,N,0
36.6213,4.1496,315,3.2,1.7,2021-08-10,0225,Aqua,MODIS,90,6.03,298,44.1,N,0
36.6136,4.1814,323.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.3,86.1,N,0
36.6057,4.2138,329.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.5,128.6,N,0
36.5822,4.3108,314.9,3.3,1.7,2021-08-10,0225,Aqua,MODIS,30,6.03,298,44.4,N,0
36.5732,4.3474,322.8,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.8,85.4,N,0
36.548,4.4508,356.1,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300.1,411.8,N,0
36.5411,4.4789,344.9,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,296.9,277.1,N,0
36.6068,4.1437,315.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,91,6.03,299.4,41.9,N,0
36.5986,4.1775,320.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.7,65.3,N,0
36.5905,4.2108,318,3.2,1.7,2021-08-10,0225,Aqua,MODIS,65,6.03,299.1,57.7,N,0
36.5337,4.4429,310.2,3.3,1.7,2021-08-10,0225,Aqua,MODIS,72,6.03,296.7,31.4,N,0
36.5258,4.475,306.4,3.4,1.7,2021-08-10,0225,Aqua,MODIS,38,6.03,294.6,18.3,N,0
36.5925,4.1374,359.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,303.2,422.6,N,0
36.5843,4.1709,381.9,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,305.8,838.3,N,0
36.5768,4.2015,325,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.6,90.6,N,0
36.568,4.2374,314.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,33,6.03,299.8,37.5,N,0
36.5778,4.1323,380.9,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.7,808.2,N,0
36.5693,4.1672,425.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,315.6,2339.4,N,0
36.5613,4.1996,332.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.8,134.3,N,0
36.5531,4.2329,322.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300.6,76.1,N,0
36.5447,4.2672,355.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,303,384,N,0
36.5367,4.2997,367.5,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.4,569.9,N,0
36.5288,4.3314,312.4,3.3,1.7,2021-08-10,0225,Aqua,MODIS,44,6.03,298.5,31.9,N,0
36.6241,4.1443,311.9,3.2,1.7,2021-08-10,0225,Aqua,MODIS,83,6.03,297.3,29.1,N,0
36.6167,4.1755,318.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,93,6.03,298,52.8,N,0
36.6092,4.2076,327.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.1,110.9,N,0
36.5773,4.342,326.4,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,298.7,105.1,N,0
36.5523,4.4475,340.8,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.5,230.7,N,0
36.5455,4.4758,346.8,3.4,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,299.7,298.5,N,0
36.6098,4.1376,313.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,87,6.03,299.1,32,N,0
36.6016,4.1725,319,3.2,1.7,2021-08-10,0225,Aqua,MODIS,98,6.03,299.5,58.2,N,0
36.5938,4.2052,319,3.2,1.7,2021-08-10,0225,Aqua,MODIS,98,6.03,299.1,56.5,N,0
36.5382,4.4388,313.6,3.3,1.7,2021-08-10,0225,Aqua,MODIS,87,6.03,297.4,44.7,N,0
36.5309,4.4689,315.8,3.4,1.7,2021-08-10,0225,Aqua,MODIS,92,6.03,295.1,57,N,0
36.5432,4.1507,320.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300.7,64.4,N,0
36.5353,4.1831,358.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.2,415.6,N,0
36.5275,4.2156,364,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.6,505.1,N,0
36.5199,4.2472,314.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,13,6.03,299.2,43.6,N,0
36.5117,4.2809,316,3.3,1.7,2021-08-10,0225,Aqua,MODIS,33,6.03,298.8,48.9,N,0
36.529,4.1434,313.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,73,6.03,300.1,31.1,N,0
36.5214,4.1748,348.9,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,302.4,292,N,0
36.513,4.2095,328.5,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.1,120.7,N,0
36.4905,4.302,320.4,3.3,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,296.3,83.9,N,0
36.4833,4.3315,309.2,3.3,1.7,2021-08-10,0225,Aqua,MODIS,66,6.03,293.4,35.7,N,0
36.5084,4.1627,317.7,3.2,1.7,2021-08-10,0225,Aqua,MODIS,69,6.03,297.9,57.9,N,0
36.4855,4.1912,311.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,40,6.03,296.7,38.2,N,0
36.5231,4.1707,339.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,302.3,196.7,N,0
36.5149,4.2056,326,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.9,99.7,N,0
36.4927,4.2991,317.8,3.3,1.7,2021-08-10,0225,Aqua,MODIS,79,6.03,296.4,67.9,N,0
36.4858,4.3282,312,3.3,1.7,2021-08-10,0225,Aqua,MODIS,63,6.03,293.7,45.4,N,0
36.51,4.1586,319.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,81,6.03,298,65.7,N,0
36.5006,4.1984,317.4,3.2,1.7,2021-08-10,0225,Aqua,MODIS,63,6.03,299.3,59.3,N,0
36.4869,4.1886,313.2,3.2,1.7,2021-08-10,0225,Aqua,MODIS,53,6.03,297.4,47.2,N,0
36.4987,4.2025,314.8,3.2,1.7,2021-08-10,0225,Aqua,MODIS,46,6.03,299.1,49.4,N,0
36.5957,4.1302,328.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,301.1,110,N,0
36.5873,4.1658,370.3,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,304.8,598.5,N,0
36.5801,4.1956,327.1,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,300,98.5,N,0
36.5715,4.232,315.6,3.2,1.7,2021-08-10,0225,Aqua,MODIS,56,6.03,299.5,40.9,N,0
36.5808,4.1263,355.2,3.2,1.7,2021-08-10,0225,Aqua,MODIS,100,6.03,302,363.3,N,0
36.8972,8.571,369.7,1.1,1,2021-08-10,1008,Terra,MODIS,100,6.03,321.2,105.4,D,0
36.5727,5.2084,352.6,1.5,1.2,2021-08-10,1008,Terra,MODIS,95,6.03,310.2,97,D,0
36.6538,4.5056,346.4,1.7,1.3,2021-08-10,1008,Terra,MODIS,85,6.03,312,95.8,D,0
36.5876,5.2796,328.9,1.5,1.2,2021-08-10,1008,Terra,MODIS,44,6.03,310.2,18.1,D,0
36.5896,5.2606,327.9,1.5,1.2,2021-08-10,1008,Terra,MODIS,27,6.03,310.6,15.9,D,0
36.6635,4.526,329.2,1.7,1.3,2021-08-10,1008,Terra,MODIS,43,6.03,312,35.1,D,0
36.6655,4.5051,360.7,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,313.9,171,D,0
36.4288,6.8108,334.7,1.3,1.1,2021-08-10,1008,Terra,MODIS,46,6.03,317.9,18.3,D,0
36.4296,6.8036,334.7,1.3,1.1,2021-08-10,1008,Terra,MODIS,57,6.03,317.5,20.1,D,0
36.5908,5.2689,336,1.5,1.2,2021-08-10,1008,Terra,MODIS,68,6.03,310.5,35.8,D,0
36.6624,4.5122,366.6,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,315.9,208.7,D,0
36.6642,4.4924,347.5,1.7,1.3,2021-08-10,1008,Terra,MODIS,72,6.03,308.8,105.9,D,0
36.6021,5.2671,333.9,1.5,1.2,2021-08-10,1008,Terra,MODIS,34,6.03,311.9,28.7,D,0
36.4448,6.8483,333,1.3,1.1,2021-08-10,1008,Terra,MODIS,66,6.03,317.8,17,D,0
36.6133,5.2658,345.4,1.5,1.2,2021-08-10,1008,Terra,MODIS,89,6.03,314.2,66.1,D,0
36.615,5.2488,355,1.5,1.2,2021-08-10,1008,Terra,MODIS,96,6.03,314.9,103.3,D,0
36.6167,5.2314,373.1,1.5,1.2,2021-08-10,1008,Terra,MODIS,100,6.03,317.2,205.5,D,0
36.4548,6.8501,369.3,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,319,130.5,D,0
36.4564,6.8358,353.5,1.3,1.1,2021-08-10,1008,Terra,MODIS,95,6.03,317.1,69.1,D,0
36.6261,5.2495,367.6,1.5,1.2,2021-08-10,1008,Terra,MODIS,100,6.03,316.2,168.9,D,0
36.6278,5.2327,373.5,1.5,1.2,2021-08-10,1008,Terra,MODIS,100,6.03,317.1,207.8,D,0
36.6955,4.6538,326.1,1.7,1.3,2021-08-10,1008,Terra,MODIS,27,6.03,310.4,20.6,D,0
36.3694,7.7368,345.3,1.1,1.1,2021-08-10,1008,Terra,MODIS,87,6.03,321,37.8,D,0
36.371,7.7239,373.1,1.1,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,323,127.9,D,0
36.3726,7.711,354.2,1.1,1.1,2021-08-10,1008,Terra,MODIS,95,6.03,320.2,59.7,D,0
36.3741,7.6988,345.8,1.1,1.1,2021-08-10,1008,Terra,MODIS,88,6.03,322.7,37.6,D,0
36.7422,4.4079,327.4,1.7,1.3,2021-08-10,1008,Terra,MODIS,49,6.03,311.8,20.9,D,0
36.7452,4.6189,340.7,1.7,1.3,2021-08-10,1008,Terra,MODIS,65,6.03,315.8,50.3,D,0
36.7471,4.5994,337.4,1.7,1.3,2021-08-10,1008,Terra,MODIS,55,6.03,313.8,41.1,D,0
36.7586,4.6001,337.2,1.7,1.3,2021-08-10,1008,Terra,MODIS,25,6.03,316,36.9,D,0
36.7447,4.6058,339.7,1.7,1.3,2021-08-10,1008,Terra,MODIS,68,6.03,313.6,46.8,D,0
36.7563,4.6061,342.9,1.7,1.3,2021-08-10,1008,Terra,MODIS,64,6.03,317.3,53.7,D,0
36.7695,4.589,360.8,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,315.5,145.2,D,0
36.7739,4.6649,353,1.7,1.3,2021-08-10,1008,Terra,MODIS,95,6.03,316.7,102,D,0
36.779,4.6106,357.9,1.7,1.3,2021-08-10,1008,Terra,MODIS,98,6.03,315.7,123.2,D,0
36.7808,4.5916,379.2,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,315.9,279.3,D,0
36.7824,4.5744,336.5,1.7,1.3,2021-08-10,1008,Terra,MODIS,79,6.03,308.1,44.2,D,0
36.7842,4.556,340.8,1.7,1.3,2021-08-10,1008,Terra,MODIS,84,6.03,308.8,60.1,D,0
36.7853,4.6668,347.1,1.7,1.3,2021-08-10,1008,Terra,MODIS,91,6.03,313.8,78.7,D,0
36.7868,4.6507,354.2,1.7,1.3,2021-08-10,1008,Terra,MODIS,96,6.03,313.6,110.8,D,0
36.7886,4.6323,338.5,1.7,1.3,2021-08-10,1008,Terra,MODIS,53,6.03,310.2,44,D,0
36.7904,4.6129,452.1,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,327.3,1541.8,D,0
36.7922,4.5938,374.6,1.7,1.3,2021-08-10,1008,Terra,MODIS,100,6.03,313.6,245.8,D,0
36.7617,5.0278,334.4,1.6,1.2,2021-08-10,1008,Terra,MODIS,75,6.03,314.7,32,D,2
36.8022,4.6116,351.5,1.7,1.3,2021-08-10,1008,Terra,MODIS,94,6.03,310.2,103.7,D,0
36.8039,4.5928,325.8,1.7,1.3,2021-08-10,1008,Terra,MODIS,14,6.03,309.1,16.3,D,0
36.7727,5.0303,336.1,1.6,1.2,2021-08-10,1008,Terra,MODIS,73,6.03,313.8,34.7,D,2
36.8601,4.2471,354.4,1.8,1.3,2021-08-10,1008,Terra,MODIS,96,6.03,314.6,129.2,D,0
36.8681,4.2881,328.5,1.8,1.3,2021-08-10,1008,Terra,MODIS,53,6.03,311.1,29.7,D,0
36.8633,4.2956,334,1.8,1.3,2021-08-10,1008,Terra,MODIS,63,6.03,310.8,45.5,D,0
36.6926,6.3572,343.1,1.3,1.1,2021-08-10,1008,Terra,MODIS,82,6.03,320.4,39.8,D,0
36.694,6.3438,352.1,1.3,1.1,2021-08-10,1008,Terra,MODIS,94,6.03,322,70.4,D,0
36.6955,6.3304,332.8,1.3,1.1,2021-08-10,1008,Terra,MODIS,57,6.03,316.8,21.6,D,0
36.7013,6.3729,333.1,1.3,1.1,2021-08-10,1008,Terra,MODIS,60,6.03,318.4,15.8,D,0
36.7028,6.3589,442.8,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,334.2,918.1,D,0
36.7044,6.3448,415.8,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,327.1,519.7,D,0
36.7132,6.3599,380.2,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,320.3,201,D,0
36.7148,6.3451,363.1,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,319.4,111.8,D,0
36.7721,6.0147,338,1.4,1.2,2021-08-10,1008,Terra,MODIS,80,6.03,314.2,37.3,D,0
36.7824,6.0179,327.2,1.4,1.2,2021-08-10,1008,Terra,MODIS,34,6.03,312.2,14.6,D,0
36.7842,6.0014,331.7,1.4,1.2,2021-08-10,1008,Terra,MODIS,67,6.03,313.8,22.7,D,0
36.6429,7.4223,361.6,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,320,88.7,D,0
36.6444,7.4095,397.7,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,324.7,280.7,D,0
36.6546,7.4905,370.7,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,322.4,119.7,D,0
36.6561,7.4776,378.9,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,323.9,158.5,D,0
36.6346,7.7372,339.8,1.2,1.1,2021-08-10,1008,Terra,MODIS,80,6.03,318.6,25.5,D,0
36.6643,7.4919,408.2,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,330.3,358.3,D,0
36.6658,7.4788,402.5,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,329.1,310.9,D,0
36.6723,7.5068,334.7,1.2,1.1,2021-08-10,1008,Terra,MODIS,69,6.03,320,14.7,D,0
36.6739,7.4937,418.8,1.2,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,330.3,460.1,D,0
36.6755,7.4804,350.6,1.2,1.1,2021-08-10,1008,Terra,MODIS,92,6.03,320.4,50.1,D,0
36.8446,6.3488,332.5,1.3,1.1,2021-08-10,1008,Terra,MODIS,58,6.03,313.8,23.2,D,0
36.6366,8.3049,427,1.1,1,2021-08-10,1008,Terra,MODIS,100,6.03,326.5,500.4,D,0
36.6381,8.2929,353.8,1.1,1,2021-08-10,1008,Terra,MODIS,95,6.03,318.2,58.3,D,0
36.8091,6.8596,333.7,1.3,1.1,2021-08-10,1008,Terra,MODIS,70,6.03,319.8,15.1,D,0
36.8107,6.846,343.2,1.3,1.1,2021-08-10,1008,Terra,MODIS,86,6.03,319.5,36.8,D,0
36.8191,6.8615,388.9,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,323.7,240.6,D,0
36.8207,6.8474,409.1,1.3,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,326.4,409,D,0
36.6988,8.191,354.5,1.1,1,2021-08-10,1008,Terra,MODIS,96,6.03,320.3,57.9,D,0
36.7003,8.1793,394,1.1,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,325.8,229.8,D,0
36.7253,7.9807,340.7,1.1,1.1,2021-08-10,1008,Terra,MODIS,81,6.03,317.2,27.5,D,0
36.7082,8.1927,380.6,1.1,1,2021-08-10,1008,Terra,MODIS,100,6.03,323,155.1,D,0
36.7097,8.1808,401.9,1.1,1.1,2021-08-10,1008,Terra,MODIS,100,6.03,328.9,282.3,D,0
36.8661,6.983,329.4,1.2,1.1,2021-08-10,1008,Terra,MODIS,44,6.03,315.8,12.2,D,2
36.7225,8.352,334.4,1.1,1,2021-08-10,1008,Terra,MODIS,67,6.03,318.7,15.6,D,0
36.8379,7.7339,336.4,1.2,1.1,2021-08-10,1008,Terra,MODIS,75,6.03,318.4,18,D,2
36.8394,7.721,333.3,1.2,1.1,2021-08-10,1008,Terra,MODIS,67,6.03,318.4,12.6,D,2
36.8741,8.6033,336.3,1.1,1,2021-08-10,1008,Terra,MODIS,73,6.03,317.6,21.1,D,0
36.8957,8.5829,362.6,1.1,1,2021-08-10,1008,Terra,MODIS,100,6.03,319.6,79.8,D,0
36.5368,4.2858,334.6,1.8,1.3,2021-08-10,1009,Terra,MODIS,19,6.03,314.1,33.3,D,0
36.5357,4.4246,331,1.7,1.3,2021-08-10,1009,Terra,MODIS,70,6.03,311.4,31,D,0
36.5251,4.2855,341.2,1.8,1.3,2021-08-10,1009,Terra,MODIS,85,6.03,315.9,61.1,D,0
36.526,4.1437,343.4,1.8,1.3,2021-08-10,1009,Terra,MODIS,88,6.03,315,63.7,D,0
36.5134,4.2839,356.2,1.8,1.3,2021-08-10,1009,Terra,MODIS,97,6.03,315.5,131,D,0
36.5177,4.2774,349.3,1.8,1.3,2021-08-10,1009,Terra,MODIS,93,6.03,315.2,97.5,D,0
36.5158,4.2971,337.3,1.7,1.3,2021-08-10,1009,Terra,MODIS,67,6.03,313.2,48.7,D,0
36.5059,4.2768,328.3,1.8,1.3,2021-08-10,1009,Terra,MODIS,57,6.03,310.7,24.6,D,0
36.4805,4.2959,331.2,1.7,1.3,2021-08-10,1009,Terra,MODIS,30,6.03,309,42,D,0
