latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-20.73145,140.04477,338.03,1.31,1.13,2021-12-10,0104,Terra,MODIS,76,6.1NRT,313.34,28.45,D
-20.73637,140.08296,338.03,1.31,1.14,2021-12-10,0104,Terra,MODIS,79,6.1NRT,312.05,31.12,D
-20.72692,140.02576,350.54,1.31,1.13,2021-12-10,0104,Terra,MODIS,93,6.1NRT,311.29,66.2,D
-20.72847,140.03833,347.38,1.31,1.13,2021-12-10,0104,Terra,MODIS,90,6.1NRT,313.29,53.95,D
-20.73315,140.07664,338.7,1.31,1.14,2021-12-10,0104,Terra,MODIS,80,6.1NRT,313.35,31.96,D
-20.73711,140.02411,337.69,1.31,1.13,2021-12-10,0104,Terra,MODIS,79,6.1NRT,312.47,31.87,D
-20.74341,140.07527,335.42,1.31,1.14,2021-12-10,0104,Terra,MODIS,72,6.1NRT,313.23,23.63,D
-20.74732,140.02269,332.09,1.31,1.13,2021-12-10,0104,Terra,MODIS,46,6.1NRT,310.71,19.32,D
-20.76932,140.03244,332.13,1.31,1.13,2021-12-10,0104,Terra,MODIS,62,6.1NRT,310.93,22.1,D
-20.92662,140.86572,331.15,1.48,1.2,2021-12-10,0104,Terra,MODIS,60,6.1NRT,316.23,15.91,D
-20.67019,140.05383,343.11,1.31,1.13,2021-12-10,0104,Terra,MODIS,86,6.1NRT,311.28,47.94,D
-20.67174,140.06624,343.8,1.31,1.14,2021-12-10,0104,Terra,MODIS,86,6.1NRT,312.27,48.7,D
-20.6804,140.05234,336.61,1.31,1.13,2021-12-10,0104,Terra,MODIS,76,6.1NRT,313.51,30.35,D
-20.68197,140.06482,359.25,1.31,1.14,2021-12-10,0104,Terra,MODIS,99,6.1NRT,315.68,98.65,D
-20.69219,140.06334,335.78,1.31,1.14,2021-12-10,0104,Terra,MODIS,75,6.1NRT,313.6,26.3,D
-20.71958,140.03334,334.68,1.31,1.13,2021-12-10,0104,Terra,MODIS,71,6.1NRT,311.16,25.1,D
-20.72821,140.01967,339.47,1.3,1.13,2021-12-10,0104,Terra,MODIS,81,6.1NRT,309.88,36.58,D
-20.72977,140.03183,355.07,1.31,1.13,2021-12-10,0104,Terra,MODIS,96,6.1NRT,312.89,81.26,D
-20.73469,140.06998,333.81,1.31,1.14,2021-12-10,0104,Terra,MODIS,66,6.1NRT,314.24,20.13,D
-16.25254,137.47726,393.58,1,1,2021-12-10,0104,Terra,MODIS,75,6.1NRT,315.15,203.59,D
-16.2539,137.48656,383.18,1,1,2021-12-10,0104,Terra,MODIS,87,6.1NRT,316.79,152.6,D
-16.25527,137.49586,361.73,1,1,2021-12-10,0104,Terra,MODIS,87,6.1NRT,314.76,74.87,D
-16.25664,137.50516,358.3,1,1,2021-12-10,0104,Terra,MODIS,86,6.1NRT,314.76,63.13,D
-16.258,137.51445,361.45,1,1,2021-12-10,0104,Terra,MODIS,75,6.1NRT,314.13,70,D
-16.25937,137.52374,370.95,1,1,2021-12-10,0104,Terra,MODIS,87,6.1NRT,314.36,97.18,D
-16.26073,137.53304,343.21,1,1,2021-12-10,0104,Terra,MODIS,72,6.1NRT,309.66,26.22,D
-16.27571,137.63527,337.46,1,1,2021-12-10,0104,Terra,MODIS,58,6.1NRT,310.32,18.75,D
-16.27707,137.64458,341.83,1,1,2021-12-10,0104,Terra,MODIS,66,6.1NRT,309.56,26.71,D
-16.25879,137.45731,343.51,1,1,2021-12-10,0104,Terra,MODIS,88,6.1NRT,298.55,37.01,D
-16.26015,137.4666,414.9,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,308.24,340.77,D
-16.26152,137.47589,402.99,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,311.15,257.68,D
-16.26289,137.48518,387.15,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,313.46,170.99,D
-16.26425,137.49448,364.63,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,312.99,82.74,D
-16.26562,137.50377,356.68,1,1,2021-12-10,0104,Terra,MODIS,98,6.1NRT,312.45,58.78,D
-16.26698,137.51306,353.73,1,1,2021-12-10,0104,Terra,MODIS,96,6.1NRT,312.45,49.44,D
-16.26835,137.52235,356.94,1,1,2021-12-10,0104,Terra,MODIS,98,6.1NRT,312.88,56,D
-16.26971,137.53165,362.39,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,311.7,69.84,D
-16.28605,137.64319,336.02,1,1,2021-12-10,0104,Terra,MODIS,81,6.1NRT,308.43,18.27,D
-16.27187,137.4838,349.67,1,1,2021-12-10,0104,Terra,MODIS,93,6.1NRT,306.99,47.09,D
-16.27324,137.49309,371.59,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,314.41,104.82,D
-16.2746,137.50238,368.73,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,315.45,92.62,D
-16.27597,137.51167,355.17,1,1,2021-12-10,0104,Terra,MODIS,97,6.1NRT,312.44,52.55,D
-16.27733,137.52098,349.08,1,1,2021-12-10,0104,Terra,MODIS,93,6.1NRT,310.86,39.13,D
-12.80546,143.04317,314.49,1.62,1.25,2021-12-10,0104,Terra,MODIS,43,6.1NRT,294.89,14.79,D
-15.14135,135.51196,337.84,1.13,1.06,2021-12-10,0104,Terra,MODIS,85,6.1NRT,289.03,27.82,D
-15.15086,135.51042,349.67,1.13,1.06,2021-12-10,0104,Terra,MODIS,94,6.1NRT,294.58,53.23,D
-15.15251,135.52086,335.01,1.13,1.06,2021-12-10,0104,Terra,MODIS,66,6.1NRT,293.24,21.47,D
-15.56952,135.95068,353.65,1.08,1.04,2021-12-10,0104,Terra,MODIS,96,6.1NRT,306.06,59.2,D
-16.24007,137.45671,327.49,1,1,2021-12-10,0104,Terra,MODIS,41,6.1NRT,298.41,12.05,D
-16.24144,137.466,466.83,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,323.39,939.73,D
-16.24281,137.4753,426.27,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,319.37,433.13,D
-16.24417,137.48459,408.38,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,316.23,288.2,D
-16.24554,137.49388,429.47,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,321.32,461.5,D
-16.2469,137.50317,392.31,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,314.01,191.47,D
-16.24827,137.51247,383.02,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,312.14,147.49,D
-16.24963,137.52176,343.77,1,1,2021-12-10,0104,Terra,MODIS,89,6.1NRT,308.95,32.47,D
-16.26735,137.64256,358.34,1,1,2021-12-10,0104,Terra,MODIS,99,6.1NRT,308.45,67.35,D
-16.25117,137.46797,389.33,1,1,2021-12-10,0104,Terra,MODIS,75,6.1NRT,311.12,183.55,D
-16.2787,137.53027,413.51,1,1,2021-12-10,0104,Terra,MODIS,100,6.1NRT,318.25,320.16,D
