latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-34.8825,-70.8735,307.2,1,1,2021-01-16,0550,Aqua,MODIS,60,6.03,285.6,9.8,N,0
-32.8005,-70.9539,303.2,1.1,1,2021-01-16,0550,Aqua,MODIS,54,6.03,286.4,8.8,N,2
-33.0896,-71.4426,302.6,1.1,1,2021-01-16,0550,Aqua,MODIS,50,6.03,284.9,8.1,N,0
-33.0991,-71.4447,300.3,1.1,1,2021-01-16,0550,Aqua,MODIS,9,6.03,285.1,6.2,N,0
-33.1348,-71.465,300.1,1.1,1,2021-01-16,0550,Aqua,MODIS,2,6.03,283.4,6.4,N,0
-33.1641,-71.4291,302.5,1.1,1,2021-01-16,0550,Aqua,MODIS,50,6.03,282.9,8.7,N,0
-34.1073,-70.4575,308.3,1,1,2021-01-16,0550,Aqua,MODIS,74,6.03,284.4,11.8,N,2
-33.1661,-71.4354,326.1,1.6,1.2,2021-01-16,1515,Terra,MODIS,66,6.03,299.4,27,D,0
-33.1679,-71.4184,332.5,1.6,1.2,2021-01-16,1515,Terra,MODIS,83,6.03,299.7,47.1,D,0
-33.1675,-71.4242,334.1,1.6,1.2,2021-01-16,1515,Terra,MODIS,85,6.03,300.6,51.5,D,0
-34.8865,-70.879,313.9,1.8,1.3,2021-01-16,1515,Terra,MODIS,44,6.03,297.1,23.8,D,0
-36.4248,-71.969,310.9,1.6,1.2,2021-01-16,1515,Terra,MODIS,25,6.03,299.3,6.8,D,2
-36.4266,-71.9511,311.2,1.6,1.2,2021-01-16,1515,Terra,MODIS,21,6.03,299.5,7.4,D,2
-33.1293,-71.4629,335.3,1.6,1.2,2021-01-16,1515,Terra,MODIS,82,6.03,300.6,53.6,D,0
-33.1386,-71.4819,348.2,1.5,1.2,2021-01-16,1515,Terra,MODIS,94,6.03,300.3,95.5,D,0
-33.1404,-71.4648,361,1.6,1.2,2021-01-16,1515,Terra,MODIS,100,6.03,300.9,153,D,0
-33.1514,-71.467,332.1,1.6,1.2,2021-01-16,1515,Terra,MODIS,77,6.03,299,41.1,D,0
