latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.549,-5.1469,308.5,4.4,1.9,2021-09-12,0130,Aqua,MODIS,61,6.03,289.1,78.4,N,0
36.4983,-5.1942,306.5,4.4,1.9,2021-09-12,0130,Aqua,MODIS,46,6.03,288.8,63.8,N,0
36.5464,-5.1508,307.8,4.4,1.9,2021-09-12,0130,Aqua,MODIS,57,6.03,289,73.2,N,0
36.5499,-5.174,356.4,3.9,1.8,2021-09-12,0308,Aqua,MODIS,100,6.03,292,561.5,N,0
36.5379,-5.1269,327.8,3.9,1.8,2021-09-12,0308,Aqua,MODIS,100,6.03,290.7,194,N,0
36.5023,-5.1925,306.8,3.9,1.8,2021-09-12,0308,Aqua,MODIS,69,6.03,289.9,53.9,N,0
36.4963,-5.2009,313.9,3.9,1.8,2021-09-12,0308,Aqua,MODIS,88,6.03,290,93.9,N,0
36.4875,-5.2029,305,3.9,1.8,2021-09-12,0308,Aqua,MODIS,60,6.03,289.4,45.6,N,0
36.5658,-5.1682,359.6,3.9,1.8,2021-09-12,0308,Aqua,MODIS,100,6.03,291.8,620.9,N,0
36.5542,-5.1225,334.7,3.9,1.8,2021-09-12,0308,Aqua,MODIS,100,6.03,290,260.9,N,0
38.8373,-6.1578,324.2,1.8,1.3,2021-09-12,1051,Terra,MODIS,53,6.03,307.5,21.3,D,0
36.4723,-5.1973,358.1,1.5,1.2,2021-09-12,1051,Terra,MODIS,99,6.03,306.2,121.4,D,0
36.474,-5.2133,326.7,1.5,1.2,2021-09-12,1051,Terra,MODIS,69,6.03,302.3,26.3,D,0
36.4882,-5.2028,327.1,1.5,1.2,2021-09-12,1051,Terra,MODIS,61,6.03,301.5,27.3,D,0
36.4899,-5.2199,326.7,1.5,1.2,2021-09-12,1051,Terra,MODIS,66,6.03,300.2,28.7,D,0
36.499,-5.203,325,1.5,1.2,2021-09-12,1051,Terra,MODIS,57,6.03,302.2,23.8,D,0
36.5368,-5.1492,348.1,1.4,1.2,2021-09-12,1051,Terra,MODIS,93,6.03,305.1,80.7,D,0
36.5634,-5.1957,347.1,1.5,1.2,2021-09-12,1051,Terra,MODIS,93,6.03,303.9,80.5,D,0
36.5653,-5.2126,319.2,1.5,1.2,2021-09-12,1051,Terra,MODIS,57,6.03,302.9,15.6,D,0
36.5705,-5.1604,328.9,1.5,1.2,2021-09-12,1051,Terra,MODIS,45,6.03,303,29.7,D,0
36.5722,-5.176,346.8,1.5,1.2,2021-09-12,1051,Terra,MODIS,89,6.03,312.2,77.5,D,0
36.574,-5.1925,393,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,314.3,354.8,D,0
36.5758,-5.2094,362.3,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,302.5,147.2,D,0
36.5668,-5.1876,377.6,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,309.8,231.7,D,0
36.5685,-5.2041,402.5,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,307.8,454.2,D,0
36.5757,-5.1685,365.8,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,309.3,162.9,D,0
36.5774,-5.1846,379.6,1.5,1.2,2021-09-12,1051,Terra,MODIS,100,6.03,314.4,248.3,D,0
36.5791,-5.2017,326.8,1.5,1.2,2021-09-12,1051,Terra,MODIS,74,6.03,302,30.4,D,0
36.5863,-5.1664,340.3,1.5,1.2,2021-09-12,1051,Terra,MODIS,88,6.03,301,64,D,0
36.5882,-5.1842,342.2,1.5,1.2,2021-09-12,1051,Terra,MODIS,89,6.03,300,69.7,D,0
36.5893,-5.203,326.9,3,1.7,2021-09-12,1411,Aqua,MODIS,76,6.03,297.7,93.5,D,0
36.5103,-5.2522,328.8,3,1.7,2021-09-12,1411,Aqua,MODIS,78,6.03,299.1,95.2,D,0
36.5121,-5.2229,328,3,1.7,2021-09-12,1411,Aqua,MODIS,59,6.03,298.5,85.3,D,0
36.482,-5.2259,355.4,3,1.7,2021-09-12,1411,Aqua,MODIS,98,6.03,300.2,327.3,D,0
36.4842,-5.1888,322.7,3,1.7,2021-09-12,1411,Aqua,MODIS,59,6.03,300.7,53.7,D,0
36.4674,-5.2192,333.3,3,1.7,2021-09-12,1411,Aqua,MODIS,85,6.03,300.2,119.8,D,0
36.4529,-5.2118,343.4,3,1.7,2021-09-12,1411,Aqua,MODIS,92,6.03,302.1,201.4,D,0
36.4689,-5.2157,332.4,3,1.7,2021-09-12,1411,Aqua,MODIS,81,6.03,299.4,112.1,D,0
36.4524,-5.2403,317.2,3,1.7,2021-09-12,1411,Aqua,MODIS,42,6.03,299,31.5,D,0
36.4545,-5.2074,345.6,3,1.7,2021-09-12,1411,Aqua,MODIS,93,6.03,302.7,225,D,0
36.5272,-5.2209,324,3,1.7,2021-09-12,1411,Aqua,MODIS,69,6.03,297.4,68.1,D,0
36.5252,-5.2521,331.3,3,1.7,2021-09-12,1411,Aqua,MODIS,84,6.03,298.3,116,D,0
36.5128,-5.2298,334.4,3,1.7,2021-09-12,1411,Aqua,MODIS,86,6.03,299.5,132.9,D,0
36.5112,-5.2586,325,3,1.7,2021-09-12,1411,Aqua,MODIS,78,6.03,298.2,77,D,0
36.5279,-5.2278,327.5,3,1.7,2021-09-12,1411,Aqua,MODIS,49,6.03,297.9,84.4,D,0
