latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0418,31.3954,318.2,3.6,1.8,2021-08-03,0039,Aqua,MODIS,96,6.03,299.8,85,N,0
37.0321,31.4339,355.4,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,304.8,457.4,N,0
37.0232,31.4693,322.2,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,301.7,111.4,N,0
37.0153,31.5008,319.8,3.6,1.8,2021-08-03,0039,Aqua,MODIS,99,6.03,299.4,96.7,N,0
37.0069,31.5343,315.1,3.6,1.8,2021-08-03,0039,Aqua,MODIS,90,6.03,295.2,69.8,N,0
37.0259,31.392,316.7,3.6,1.8,2021-08-03,0039,Aqua,MODIS,94,6.03,300.4,71.4,N,0
37.0162,31.4307,328.5,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,301.3,148.5,N,0
37.008,31.4632,314.9,3.6,1.8,2021-08-03,0039,Aqua,MODIS,90,6.03,299.8,61.8,N,0
37.0001,31.4946,310.1,3.6,1.8,2021-08-03,0039,Aqua,MODIS,64,6.03,297.5,40,N,0
36.991,31.5304,322.8,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,296.2,114.4,N,0
37.0101,31.3884,328.9,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,302.1,151.4,N,0
37.0012,31.4237,317.8,3.6,1.8,2021-08-03,0039,Aqua,MODIS,96,6.03,300,74.9,N,0
36.964,31.5702,308.2,3.7,1.8,2021-08-03,0039,Aqua,MODIS,74,6.03,297.5,38.5,N,0
37.0312,31.5046,324.7,3.6,1.8,2021-08-03,0039,Aqua,MODIS,100,6.03,297.3,137.8,N,0
36.7907,31.9829,332.4,3.9,1.8,2021-08-03,0040,Aqua,MODIS,100,6.03,299.4,207.5,N,0
36.7977,31.9873,332,3.9,1.8,2021-08-03,0040,Aqua,MODIS,100,6.03,298.8,205.8,N,0
36.8087,31.9446,314.6,3.9,1.8,2021-08-03,0040,Aqua,MODIS,81,6.03,295.2,71.7,N,0
