latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.5253,-81.9245,303.4,1.1,1,2021-10-14,0343,Terra,MODIS,55,6.03,292.9,4.6,N,0
29.9631,-93.8876,310.8,3.1,1.7,2021-10-14,0344,Terra,MODIS,81,6.03,292.6,42.9,N,0
29.9622,-93.894,307.7,3.1,1.7,2021-10-14,0344,Terra,MODIS,72,6.03,292.7,35.3,N,2
29.9636,-90.7499,312.2,1.9,1.3,2021-10-14,0344,Terra,MODIS,78,6.03,278.7,32.5,N,0
36.9351,-89.0423,302.2,1.1,1.1,2021-10-14,0346,Terra,MODIS,47,6.03,291.2,4.7,N,0
34.5164,-120.1221,327.2,3,1.6,2021-10-14,0524,Terra,MODIS,100,6.03,284,136.1,N,0
34.5095,-120.1531,314.1,3,1.6,2021-10-14,0524,Terra,MODIS,88,6.03,283.4,74.2,N,0
34.4871,-120.1844,321.8,3,1.6,2021-10-14,0524,Terra,MODIS,100,6.03,287.9,110.1,N,0
34.5103,-120.1578,303.4,3,1.6,2021-10-14,0525,Terra,MODIS,55,6.03,282.9,40.1,N,0
34.5174,-120.1271,332.1,3,1.6,2021-10-14,0525,Terra,MODIS,100,6.03,284.2,167.3,N,0
34.4874,-120.1901,325.7,3,1.6,2021-10-14,0525,Terra,MODIS,100,6.03,287.9,127.2,N,0
19.4082,-155.2756,374.6,1,1,2021-10-14,0838,Terra,MODIS,100,6.03,299.1,134.8,N,1
19.3979,-155.2838,335.6,1,1,2021-10-14,0838,Terra,MODIS,100,6.03,293.2,36.6,N,1
19.3966,-155.2933,311.2,1,1,2021-10-14,0838,Terra,MODIS,49,6.03,287.2,9.9,N,1
19.4042,-155.3042,305.3,1,1,2021-10-14,0838,Terra,MODIS,54,6.03,286.6,6.6,N,1
19.4029,-155.3137,315,1,1,2021-10-14,0838,Terra,MODIS,90,6.03,285.8,14.3,N,1
19.4069,-155.2851,500,1,1,2021-10-14,0838,Terra,MODIS,100,6.03,345.3,1632.7,N,1
19.4056,-155.2947,392.9,1,1,2021-10-14,0838,Terra,MODIS,100,6.03,297.4,216.7,N,1
34.4797,-120.186,301.1,1.2,1.1,2021-10-14,0945,Aqua,MODIS,37,6.03,284.3,8.5,N,0
34.5223,-120.122,309.3,1.2,1.1,2021-10-14,0945,Aqua,MODIS,77,6.03,287.1,16.4,N,0
19.4128,-155.2886,360.3,3.9,1.8,2021-10-14,1128,Aqua,MODIS,100,6.03,287.8,647.4,N,1
19.4084,-155.297,343.9,3.9,1.8,2021-10-14,1128,Aqua,MODIS,100,6.03,285.5,380.1,N,1
19.405,-155.2603,372.8,3.9,1.8,2021-10-14,1128,Aqua,MODIS,100,6.03,288.3,919.6,N,1
