latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-17.68957,137.37532,327.97,4.28,1.91,2022-03-31,0020,Terra,MODIS,77,6.1NRT,302.81,148.36,D
-17.68077,137.41873,327.24,4.25,1.91,2022-03-31,0020,Terra,MODIS,76,6.1NRT,303,136.15,D
-17.67257,137.37918,340.62,4.28,1.91,2022-03-31,0020,Terra,MODIS,89,6.1NRT,303.29,294.29,D
-17.69533,137.42107,323.74,4.25,1.91,2022-03-31,0020,Terra,MODIS,71,6.1NRT,303.86,105.11,D
-17.68742,137.38138,343.9,4.28,1.91,2022-03-31,0020,Terra,MODIS,91,6.1NRT,303.68,341.78,D
-17.67042,137.38525,335.01,4.28,1.91,2022-03-31,0020,Terra,MODIS,85,6.1NRT,303.2,222.17,D
-19.01579,146.28928,315.4,1.05,1.02,2022-03-31,0020,Terra,MODIS,47,6.1NRT,300.46,8.54,D
-25.94577,151.59256,312.93,1.7,1.28,2022-03-31,0020,Terra,MODIS,44,6.1NRT,296.95,9.96,D
-25.06028,145.80774,317.79,1.01,1,2022-03-31,0020,Terra,MODIS,60,6.1NRT,302.49,6.28,D
-25.05879,145.79782,316.82,1.01,1,2022-03-31,0020,Terra,MODIS,56,6.1NRT,302.16,5.47,D
-25.36918,151.12225,320.92,1.56,1.23,2022-03-31,0020,Terra,MODIS,75,6.1NRT,299.01,23.92,D
-25.36744,151.10663,331.64,1.55,1.23,2022-03-31,0020,Terra,MODIS,85,6.1NRT,298.35,46.8,D
-24.15315,145.77603,320.09,1.01,1.01,2022-03-31,0020,Terra,MODIS,62,6.1NRT,303.26,9.16,D
-22.94709,147.2079,318.19,1,1,2022-03-31,0020,Terra,MODIS,43,6.1NRT,304,6,D
-19.63536,147.27412,321.71,1,1,2022-03-31,0020,Terra,MODIS,62,6.1NRT,305.91,9.89,D
-17.69773,137.41495,322.17,4.25,1.91,2022-03-31,0020,Terra,MODIS,68,6.1NRT,304.03,93.36,D
-31.20688,147.07996,317.09,1.11,1.05,2022-03-31,0022,Terra,MODIS,40,6.1NRT,299.86,8.37,D
-31.1959,147.0699,319.06,1.11,1.05,2022-03-31,0022,Terra,MODIS,66,6.1NRT,300.06,10.7,D
-31.11199,147.05443,320.5,1.1,1.05,2022-03-31,0022,Terra,MODIS,74,6.1NRT,300.06,13.92,D
-31.1105,147.04283,326.64,1.1,1.05,2022-03-31,0022,Terra,MODIS,80,6.1NRT,299.94,21.07,D
-29.83831,149.17549,317.73,1.35,1.15,2022-03-31,0022,Terra,MODIS,75,6.1NRT,299.16,13.21,D
-32.80774,148.69966,317.07,1.38,1.16,2022-03-31,0022,Terra,MODIS,73,6.1NRT,297.44,16.25,D
-32.81353,148.70439,325.3,1.38,1.16,2022-03-31,0022,Terra,MODIS,81,6.1NRT,297.86,28.72,D
-31.19739,147.08154,318.36,1.11,1.05,2022-03-31,0022,Terra,MODIS,64,6.1NRT,299.76,10.47,D
-33.61054,146.47369,317.82,1.11,1.05,2022-03-31,0022,Terra,MODIS,51,6.1NRT,298.46,9.9,D
-33.49039,147.64471,332.35,1.24,1.11,2022-03-31,0022,Terra,MODIS,86,6.1NRT,302.49,34.29,D
-33.4888,147.63135,326.62,1.24,1.1,2022-03-31,0022,Terra,MODIS,81,6.1NRT,300.58,24.77,D
-36.2952,144.72694,312,1.03,1.02,2022-03-31,0024,Terra,MODIS,61,6.1NRT,296.55,6.45,D
-36.11394,145.66583,313.61,1.09,1.04,2022-03-31,0024,Terra,MODIS,67,6.1NRT,298.61,6.7,D
-36.12337,145.66406,313.02,1.09,1.04,2022-03-31,0024,Terra,MODIS,62,6.1NRT,298.77,6.09,D
30.40679,19.61412,311.93,1.01,1,2022-03-31,0039,Aqua,MODIS,84,6.1NRT,286.89,12.86,N
29.07613,19.07028,306.56,1,1,2022-03-31,0039,Aqua,MODIS,68,6.1NRT,285.92,9.88,N
28.91352,19.77064,325.73,1.03,1.01,2022-03-31,0039,Aqua,MODIS,100,6.1NRT,287.42,27.15,N
28.9119,19.78105,342.06,1.03,1.01,2022-03-31,0039,Aqua,MODIS,100,6.1NRT,288.55,51.5,N
28.90714,20.96088,326.87,1.12,1.05,2022-03-31,0039,Aqua,MODIS,100,6.1NRT,288.19,31.69,N
